127.0.0.1, 2014-12-18 18:05:11, GET, /init/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.016000
127.0.0.1, 2014-12-18 18:05:11, GET, /init/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.016000
127.0.0.1, 2014-12-18 18:05:11, GET, /init/static/logos_footer, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-12-18 18:05:11, GET, /init/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-12-18 18:05:11, GET, /init/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.016000
127.0.0.1, 2014-12-18 18:05:11, GET, /init/static/js/share.js, HTTP/1.1, 200, 0.047000
127.0.0.1, 2014-12-18 18:05:11, GET, /init/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.015000
127.0.0.1, 2014-12-18 18:05:11, GET, /init/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-12-18 18:05:11, GET, /init/static/images/twitter.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-12-18 18:05:11, GET, /init/static/images/facebook.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-12-18 18:05:11, GET, /init/static/images/gplus-32.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-12-18 18:05:25, GET, /init/10_conteo_aves/index2, HTTP/1.1, 200, 0.234000
127.0.0.1, 2014-12-18 18:05:25, GET, /init/10_conteo_aves/index2, HTTP/1.1, 200, 0.329000
127.0.0.1, 2014-12-18 18:05:25, GET, /init/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-12-18 18:07:03, GET, /, HTTP/1.1, 200, 0.156000
127.0.0.1, 2014-12-18 18:07:03, GET, /init/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-12-18 18:07:24, GET, /, HTTP/1.1, 200, 0.187000
127.0.0.1, 2014-12-18 18:07:24, GET, /init/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-12-18 18:07:26, GET, /init/10_conteo_aves/index1, HTTP/1.1, 200, 0.094000
127.0.0.1, 2014-12-18 18:07:26, GET, /init/10_conteo_aves/index1, HTTP/1.1, 200, 0.156000
127.0.0.1, 2014-12-18 18:07:26, GET, /init/static/js/share.js, HTTP/1.1, 304, 0.015000
127.0.0.1, 2014-12-18 18:07:28, GET, /init/10_conteo_aves/index2, HTTP/1.1, 200, 0.110000
127.0.0.1, 2014-12-18 18:07:28, GET, /init/static/js/share.js, HTTP/1.1, 304, 0.015000
127.0.0.1, 2014-12-18 18:07:28, GET, /init/10_conteo_aves/index2, HTTP/1.1, 200, 0.391000
127.0.0.1, 2014-12-18 18:07:30, GET, /init/10_conteo_aves/index1, HTTP/1.1, 200, 0.079000
127.0.0.1, 2014-12-18 18:07:30, GET, /init/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-12-18 18:07:31, GET, /init/01_conglomerado/index, HTTP/1.1, 200, 0.094000
127.0.0.1, 2014-12-18 18:07:31, GET, /init/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-12-18 18:07:33, GET, /init/10_conteo_aves/index2, HTTP/1.1, 200, 0.140000
127.0.0.1, 2014-12-18 18:07:33, GET, /init/10_conteo_aves/index2, HTTP/1.1, 200, 0.328000
127.0.0.1, 2014-12-18 18:07:33, GET, /init/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-12-18 18:07:35, GET, /init/01_conglomerado/index, HTTP/1.1, 200, 0.078000
127.0.0.1, 2014-12-18 18:07:35, GET, /init/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-12-18 18:07:37, GET, /init/10_conteo_aves/index2, HTTP/1.1, 200, 0.125000
127.0.0.1, 2014-12-18 18:07:37, GET, /init/10_conteo_aves/index2, HTTP/1.1, 200, 0.203000
127.0.0.1, 2014-12-18 18:07:38, GET, /init/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-12-19 11:12:42, GET, /, HTTP/1.1, 200, 1.871000
127.0.0.1, 2014-12-19 11:12:43, GET, /init/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.084000
127.0.0.1, 2014-12-19 11:12:43, GET, /init/static/js/jquery.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-12-19 11:12:43, GET, /init/static/css/calendar.css, HTTP/1.1, 304, 0.082000
127.0.0.1, 2014-12-19 11:12:43, GET, /init/static/js/calendar.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-12-19 11:12:43, GET, /init/static/css/web2py.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-12-19 11:12:43, GET, /init/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-12-19 11:12:43, GET, /init/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-12-19 11:12:43, GET, /init/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-12-19 11:12:43, GET, /init/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.017000
127.0.0.1, 2014-12-19 11:12:43, GET, /init/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-12-19 11:12:43, GET, /init/static/js/web2py.js, HTTP/1.1, 304, 0.017000
127.0.0.1, 2014-12-19 11:12:43, GET, /init/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.017000
127.0.0.1, 2014-12-19 11:12:43, GET, /init/static/logos_header, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-12-19 11:12:43, GET, /init/static/logos_footer, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-12-19 11:12:43, GET, /init/static/images/favicon.ico, HTTP/1.1, 304, 0.016000
127.0.0.1, 2014-12-19 11:12:44, GET, /init/static/images/twitter.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-12-19 11:12:44, GET, /init/static/images/facebook.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-12-19 11:12:44, GET, /init/static/images/gplus-32.png, HTTP/1.1, 304, 0.016000
